season,date,time,fpl_game_week
2020-2021,18/05/2021,20:15:00,37
2020-2021,19/05/2021,18:00:00,37
2020-2021,19/05/2021,19:00:00,37
2020-2021,19/05/2021,20:15:00,37
2020-2021,23/05/2021,16:00:00,38
2017-2018,13/08/2017,16:00:00,1
2017-2018,12/08/2017,15:00:00,1
2017-2018,11/08/2017,19:45:00,1
2017-2018,12/08/2017,12:30:00,1
2017-2018,12/08/2017,17:30:00,1
2017-2018,13/08/2017,13:30:00,1
2017-2018,28/10/2017,15:00:00,10
2017-2018,29/10/2017,16:00:00,10
2017-2018,28/10/2017,17:30:00,10
2017-2018,30/10/2017,20:00:00,10
2017-2018,29/10/2017,13:30:00,10
2017-2018,28/10/2017,12:30:00,10
2017-2018,04/11/2017,17:30:00,11
2017-2018,05/11/2017,16:30:00,11
2017-2018,04/11/2017,15:00:00,11
2017-2018,05/11/2017,14:15:00,11
2017-2018,04/11/2017,12:30:00,11
2017-2018,05/11/2017,12:00:00,11
2017-2018,19/11/2017,16:00:00,12
2017-2018,18/11/2017,15:00:00,12
2017-2018,18/11/2017,12:30:00,12
2017-2018,18/11/2017,17:30:00,12
2017-2018,20/11/2017,20:00:00,12
2017-2018,24/11/2017,20:00:00,13
2017-2018,26/11/2017,13:30:00,13
2017-2018,26/11/2017,16:00:00,13
2017-2018,25/11/2017,15:00:00,13
2017-2018,26/11/2017,14:00:00,13
2017-2018,25/11/2017,17:30:00,13
2017-2018,29/11/2017,20:00:00,14
2017-2018,29/11/2017,19:45:00,14
2017-2018,28/11/2017,20:00:00,14
2017-2018,28/11/2017,19:45:00,14
2017-2018,03/12/2017,16:00:00,15
2017-2018,02/12/2017,15:00:00,15
2017-2018,03/12/2017,13:30:00,15
2017-2018,02/12/2017,17:30:00,15
2017-2018,02/12/2017,12:30:00,15
2017-2018,09/12/2017,12:30:00,16
2017-2018,10/12/2017,14:15:00,16
2017-2018,09/12/2017,15:00:00,16
2017-2018,10/12/2017,12:00:00,16
2017-2018,09/12/2017,17:30:00,16
2017-2018,10/12/2017,16:30:00,16
2017-2018,13/12/2017,20:00:00,17
2017-2018,13/12/2017,19:45:00,17
2017-2018,12/12/2017,20:00:00,17
2017-2018,12/12/2017,19:45:00,17
2017-2018,16/12/2017,16:00:00,18
2017-2018,18/12/2017,20:00:00,18
2017-2018,16/12/2017,15:00:00,18
2017-2018,17/12/2017,16:30:00,18
2017-2018,16/12/2017,12:30:00,18
2017-2018,17/12/2017,14:15:00,18
2017-2018,16/12/2017,17:30:00,18
2017-2018,23/12/2017,15:00:00,19
2017-2018,23/12/2017,12:30:00,19
2017-2018,22/12/2017,19:45:00,19
2017-2018,23/12/2017,17:30:00,19
2017-2018,23/12/2017,19:45:00,19
2017-2018,19/08/2017,15:00:00,2
2017-2018,21/08/2017,20:00:00,2
2017-2018,20/08/2017,13:30:00,2
2017-2018,19/08/2017,17:30:00,2
2017-2018,19/08/2017,12:30:00,2
2017-2018,20/08/2017,16:00:00,2
2017-2018,26/12/2017,15:00:00,20
2017-2018,28/12/2017,20:00:00,20
2017-2018,26/12/2017,17:30:00,20
2017-2018,27/12/2017,19:45:00,20
2017-2018,26/12/2017,12:30:00,20
2017-2018,30/12/2017,15:00:00,21
2017-2018,31/12/2017,16:30:00,21
2017-2018,31/12/2017,12:00:00,21
2017-2018,30/12/2017,17:30:00,21
2017-2018,02/01/2018,19:45:00,22
2017-2018,04/01/2018,20:00:00,22
2017-2018,01/01/2018,17:30:00,22
2017-2018,01/01/2018,15:00:00,22
2017-2018,01/01/2018,12:30:00,22
2017-2018,03/01/2018,19:45:00,22
2017-2018,02/01/2018,20:00:00,22
2017-2018,13/01/2018,15:00:00,23
2017-2018,13/01/2018,17:30:00,23
2017-2018,14/01/2018,13:30:00,23
2017-2018,14/01/2018,16:00:00,23
2017-2018,15/01/2018,20:00:00,23
2017-2018,20/01/2018,15:00:00,24
2017-2018,22/01/2018,20:00:00,24
2017-2018,20/01/2018,17:30:00,24
2017-2018,21/01/2018,16:00:00,24
2017-2018,20/01/2018,12:30:00,24
2017-2018,30/01/2018,19:45:00,25
2017-2018,31/01/2018,19:45:00,25
2017-2018,30/01/2018,20:00:00,25
2017-2018,31/01/2018,20:00:00,25
2017-2018,03/02/2018,15:00:00,26
2017-2018,03/02/2018,12:30:00,26
2017-2018,03/02/2018,17:30:00,26
2017-2018,04/02/2018,14:15:00,26
2017-2018,05/02/2018,20:00:00,26
2017-2018,04/02/2018,16:30:00,26
2017-2018,10/02/2018,15:00:00,27
2017-2018,11/02/2018,12:00:00,27
2017-2018,10/02/2018,12:30:00,27
2017-2018,11/02/2018,16:30:00,27
2017-2018,10/02/2018,17:30:00,27
2017-2018,12/02/2018,20:00:00,27
2017-2018,11/02/2018,14:15:00,27
2017-2018,24/02/2018,15:00:00,28
2017-2018,01/03/2018,19:45:00,28
2017-2018,25/02/2018,12:00:00,28
2017-2018,24/02/2018,17:30:00,28
2017-2018,24/02/2018,12:30:00,28
2017-2018,25/02/2018,14:05:00,28
2017-2018,03/03/2018,15:00:00,29
2017-2018,03/03/2018,12:30:00,29
2017-2018,04/03/2018,13:30:00,29
2017-2018,05/03/2018,20:00:00,29
2017-2018,03/03/2018,17:30:00,29
2017-2018,04/03/2018,16:00:00,29
2017-2018,26/08/2017,15:00:00,3
2017-2018,27/08/2017,13:30:00,3
2017-2018,27/08/2017,16:00:00,3
2017-2018,26/08/2017,12:30:00,3
2017-2018,26/08/2017,17:30:00,3
2017-2018,10/03/2018,15:00:00,30
2017-2018,11/03/2018,16:00:00,30
2017-2018,11/03/2018,13:30:00,30
2017-2018,10/03/2018,17:30:00,30
2017-2018,10/03/2018,12:30:00,30
2017-2018,12/03/2018,20:00:00,30
2017-2018,17/03/2018,15:00:00,31
2017-2018,17/03/2018,17:30:00,31
2017-2018,31/03/2018,15:00:00,32
2017-2018,01/04/2018,13:30:00,32
2017-2018,31/03/2018,12:30:00,32
2017-2018,31/03/2018,17:30:00,32
2017-2018,01/04/2018,16:00:00,32
2017-2018,08/04/2018,16:30:00,33
2017-2018,07/04/2018,15:00:00,33
2017-2018,08/04/2018,14:15:00,33
2017-2018,07/04/2018,12:30:00,33
2017-2018,07/04/2018,17:30:00,33
2017-2018,16/04/2018,20:00:00,34
2017-2018,14/04/2018,15:00:00,34
2017-2018,19/04/2018,19:45:00,34
2017-2018,14/04/2018,17:30:00,34
2017-2018,18/04/2018,19:45:00,34
2017-2018,15/04/2018,13:30:00,34
2017-2018,15/04/2018,16:00:00,34
2017-2018,14/04/2018,19:45:00,34
2017-2018,14/04/2018,12:30:00,34
2017-2018,17/04/2018,19:45:00,34
2017-2018,22/04/2018,13:30:00,35
2017-2018,21/04/2018,15:00:00,35
2017-2018,21/04/2018,12:30:00,35
2017-2018,23/04/2018,20:00:00,35
2017-2018,22/04/2018,16:30:00,35
2017-2018,29/04/2018,14:15:00,36
2017-2018,28/04/2018,15:00:00,36
2017-2018,29/04/2018,16:30:00,36
2017-2018,30/04/2018,20:00:00,36
2017-2018,28/04/2018,12:30:00,36
2017-2018,28/04/2018,17:30:00,36
2017-2018,05/05/2018,15:00:00,37
2017-2018,10/05/2018,19:45:00,37
2017-2018,06/05/2018,16:30:00,37
2017-2018,06/05/2018,13:30:00,37
2017-2018,09/05/2018,19:45:00,37
2017-2018,05/05/2018,12:30:00,37
2017-2018,05/05/2018,17:30:00,37
2017-2018,09/05/2018,20:00:00,37
2017-2018,04/05/2018,20:00:00,37
2017-2018,08/05/2018,19:45:00,37
2017-2018,13/05/2018,15:00:00,38
2017-2018,11/09/2017,20:00:00,4
2017-2018,09/09/2017,15:00:00,4
2017-2018,09/09/2017,12:30:00,4
2017-2018,10/09/2017,16:00:00,4
2017-2018,09/09/2017,17:30:00,4
2017-2018,10/09/2017,13:30:00,4
2017-2018,16/09/2017,15:00:00,5
2017-2018,17/09/2017,16:00:00,5
2017-2018,17/09/2017,13:30:00,5
2017-2018,15/09/2017,20:00:00,5
2017-2018,16/09/2017,12:30:00,5
2017-2018,16/09/2017,17:30:00,5
2017-2018,23/09/2017,12:30:00,6
2017-2018,23/09/2017,15:00:00,6
2017-2018,25/09/2017,20:00:00,6
2017-2018,23/09/2017,17:30:00,6
2017-2018,24/09/2017,16:00:00,6
2017-2018,30/09/2017,15:00:00,7
2017-2018,01/10/2017,14:15:00,7
2017-2018,30/09/2017,12:30:00,7
2017-2018,01/10/2017,12:00:00,7
2017-2018,01/10/2017,16:30:00,7
2017-2018,30/09/2017,17:30:00,7
2017-2018,14/10/2017,15:00:00,8
2017-2018,15/10/2017,13:30:00,8
2017-2018,14/10/2017,17:30:00,8
2017-2018,14/10/2017,12:30:00,8
2017-2018,16/10/2017,20:00:00,8
2017-2018,15/10/2017,16:00:00,8
2017-2018,20/10/2017,20:00:00,9
2017-2018,22/10/2017,13:30:00,9
2017-2018,21/10/2017,15:00:00,9
2017-2018,21/10/2017,12:30:00,9
2017-2018,22/10/2017,16:00:00,9
2017-2018,21/10/2017,17:30:00,9
